Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Equatorial Guinea,2023-02-22 00:20:57,1.6508,10.2679,17222,183,,,1227.5255972088084,,,1.0625943560562072,226,GNQ,36,0
Eritrea,2023-02-22 00:20:57,15.1794,39.7823,10189,103,,,287.3032491575324,,,1.0108941014819903,232,ERI,0,0
Estonia,2023-02-22 00:20:57,58.5953,25.0136,614848,2934,,,46349.7869267319,,,0.4771911106484854,233,EST,1330,30
Eswatini,2023-02-22 00:20:57,-26.5225,31.4659,74199,1423,,,6395.561317193086,,,1.9178156039838807,748,SWZ,85,1
Ethiopia,2023-02-22 00:20:57,9.145,40.4897,499890,7572,,,434.8246522553146,,,1.514733241313089,231,ETH,543,0
Fiji,2023-02-22 00:20:57,-17.7134,178.065,68876,883,,,7683.246248510783,,,1.2820140542424066,242,FJI,68,0
Finland,2023-02-22 00:20:57,61.9241,25.7482,1461583,8859,,,26378.945833373946,,,0.6061236344429294,246,FIN,11754,302
France,2023-02-22 00:20:57,46.2276,2.2137,39800890,165832,,,60997.67933541234,,,0.416653999445741,250,FRA,104779,810
Gabon,2023-02-22 00:20:57,-0.8037,11.6094,48981,306,,,2200.6732179313917,,,0.6247320389538801,266,GAB,1,0
Gambia,2023-02-22 00:20:57,13.4432,-15.3101,12586,372,,,520.8005746764962,,,2.955665024630542,270,GMB,0,0
Georgia,2023-02-22 00:20:57,42.3154,43.3569,1822045,16950,,,45674.732244135696,,,0.9302734015899716,268,GEO,11030,41
Germany,2023-02-22 00:20:57,51.165691,10.451526,38018111,167387,,,45719.55604225558,,,0.4402822644186608,276,DEU,333655,2543
Ghana,2023-02-22 00:20:57,7.9465,-1.0232,171160,1462,,,550.832886937495,,,0.8541715354054685,288,GHA,48,0
Greece,2023-02-22 00:20:57,39.0742,21.8243,5548487,34779,,,53232.82346367514,,,0.6268195275576928,300,GRC,0,0
Grenada,2023-02-22 00:20:57,12.1165,-61.679,19680,238,,,17490.379402589784,,,1.2093495934959348,308,GRD,0,0
Guatemala,2023-02-22 00:20:57,15.7835,-90.2308,1234475,20159,,,6890.515940690016,,,1.6330018833917253,320,GTM,10954,79
Guinea,2023-02-22 00:20:57,9.9456,-9.6966,38267,467,,,291.3851068379062,,,1.2203726448375884,324,GIN,43,0
Guinea-Bissau,2023-02-22 00:20:57,11.8037,-15.1804,8953,176,,,454.9293241151668,,,1.965821512342232,624,GNB,6,0
Guyana,2023-02-22 00:20:57,4.860416,-58.93018,73052,1298,,,9287.542320410805,,,1.7768165142638122,328,GUY,237,5
Haiti,2023-02-22 00:20:57,18.9712,-72.2852,34143,860,,,299.4334679847013,,,2.518817912895762,332,HTI,135,0
Holy See,2023-02-22 00:20:57,41.9029,12.4534,29,0,,,3584.672435105068,,,0.0,336,VAT,0,0
Honduras,2023-02-22 00:20:57,15.2,-86.2419,471557,11109,,,4760.985997628579,,,2.3558127649467613,340,HND,1413,10
Hungary,2023-02-22 00:20:57,47.1625,19.5033,2194102,48738,,,22712.44830673837,,,2.221318790101828,348,HUN,2902,109
Iceland,2023-02-22 00:20:57,64.9631,-19.0208,208999,211,,,61245.1282051282,,,0.1009574208489035,352,ISL,382,-27
India,2023-02-22 00:20:57,20.593684,78.96288,44685132,530761,,,3238.042754480088,,,1.1877798637810897,356,IND,3030,24
Indonesia,2023-02-22 00:20:57,-0.7893,113.9213,6734606,160892,,,2462.1661468864518,,,2.389033597511124,360,IDN,6150,100
